               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.057918,            0.013884,            0.015377,             0.57781,             0.57917,             0.68339,             0.27501,            0.044973,           0.0077747,           0.0092011,           0.0088714,           0.0088714,           0.0088714
                  59,            0.057533,            0.014606,            0.019579,             0.79769,              0.8875,             0.86923,             0.40537,            0.037243,           0.0077791,           0.0092574,           0.0088516,           0.0088516,           0.0088516
                  60,            0.051258,            0.014517,            0.016224,             0.79769,              0.8875,             0.86923,             0.40537,            0.037243,           0.0077791,           0.0092574,           0.0088318,           0.0088318,           0.0088318
                  61,            0.044396,            0.013941,            0.014212,             0.76875,             0.88214,             0.91438,             0.54585,            0.030767,           0.0079251,           0.0091855,            0.008812,            0.008812,            0.008812
                  62,            0.041999,             0.01296,            0.013894,             0.67344,                0.95,              0.8499,                0.36,            0.037335,           0.0082508,           0.0090006,           0.0087922,           0.0087922,           0.0087922
                  63,            0.046216,            0.015565,            0.013717,             0.41797,                 0.9,             0.60135,             0.30491,            0.046099,           0.0092638,           0.0087527,           0.0087724,           0.0087724,           0.0087724
                  64,            0.058087,            0.013061,             0.01496,             0.41797,                 0.9,             0.60135,             0.30491,            0.046099,           0.0092638,           0.0087527,           0.0087526,           0.0087526,           0.0087526
                  65,            0.052827,            0.012343,            0.014822,             0.65388,             0.86621,             0.75911,             0.38711,            0.041606,           0.0088798,           0.0085605,           0.0087328,           0.0087328,           0.0087328
                  66,            0.050471,            0.014243,            0.015686,             0.91146,             0.90584,             0.93914,             0.51353,            0.038871,            0.008276,           0.0084717,            0.008713,            0.008713,            0.008713
                  67,            0.052379,            0.013342,            0.013638,             0.81321,             0.77917,             0.89605,              0.4036,            0.037695,           0.0079661,           0.0077524,           0.0086932,           0.0086932,           0.0086932
                  68,            0.048034,            0.012111,            0.011467,             0.81321,             0.77917,             0.89605,              0.4036,            0.037695,           0.0079661,           0.0077524,           0.0086734,           0.0086734,           0.0086734
                  69,            0.042477,            0.013173,            0.012711,             0.85378,             0.88333,             0.91299,             0.45655,            0.031866,            0.007877,           0.0078977,           0.0086536,           0.0086536,           0.0086536
                  70,            0.043851,            0.012693,            0.011521,             0.95188,             0.91287,             0.97082,                 0.5,            0.034124,           0.0077525,           0.0076944,           0.0086338,           0.0086338,           0.0086338
                  71,            0.049276,            0.010752,            0.014526,             0.48509,             0.79623,             0.65845,             0.24757,            0.046707,           0.0078967,            0.008356,            0.008614,            0.008614,            0.008614
                  72,               0.051,            0.011951,            0.013797,             0.48509,             0.79623,             0.65845,             0.24757,            0.046707,           0.0078967,            0.008356,           0.0085942,           0.0085942,           0.0085942
                  73,            0.045891,            0.011518,            0.015122,             0.72774,             0.82083,             0.88801,             0.45205,            0.039399,           0.0073785,           0.0084551,           0.0085744,           0.0085744,           0.0085744
                  74,            0.047502,             0.01409,            0.014515,             0.58655,              0.8375,             0.70954,             0.30092,            0.040664,           0.0077403,           0.0079445,           0.0085546,           0.0085546,           0.0085546
                  75,            0.051894,            0.013126,            0.013186,             0.91989,             0.88333,             0.95607,              0.4152,            0.041983,           0.0070349,           0.0071606,           0.0085348,           0.0085348,           0.0085348
                  76,             0.05176,             0.01264,             0.01414,             0.91989,             0.88333,             0.95607,              0.4152,            0.041983,           0.0070349,           0.0071606,            0.008515,            0.008515,            0.008515
                  77,            0.050504,            0.012568,            0.012147,             0.69753,             0.83276,             0.87687,             0.53709,             0.03731,           0.0067894,           0.0075569,           0.0084952,           0.0084952,           0.0084952
                  78,            0.047954,            0.013829,            0.012486,             0.77698,             0.88333,             0.92697,             0.42486,            0.033675,           0.0067731,           0.0075563,           0.0084754,           0.0084754,           0.0084754
                  79,            0.046147,            0.013892,            0.012653,             0.58608,             0.90833,             0.78532,              0.3764,            0.032187,           0.0063019,           0.0083762,           0.0084556,           0.0084556,           0.0084556
                  80,            0.044952,            0.011749,            0.011407,             0.58608,             0.90833,             0.78532,              0.3764,            0.032187,           0.0063019,           0.0083762,           0.0084358,           0.0084358,           0.0084358
                  81,            0.044459,            0.013333,            0.011427,              0.7749,             0.93333,             0.90119,             0.47898,            0.031384,           0.0062043,           0.0080707,            0.008416,            0.008416,            0.008416
                  82,            0.047726,              0.0131,            0.013085,              0.7314,             0.75382,             0.85148,             0.55612,            0.036659,           0.0063343,           0.0072864,           0.0083962,           0.0083962,           0.0083962
                  83,            0.050441,            0.011903,            0.012814,             0.71623,             0.86882,             0.79768,             0.40618,            0.034214,           0.0065272,           0.0060989,           0.0083764,           0.0083764,           0.0083764
                  84,            0.047216,            0.012565,            0.010543,             0.71623,             0.86882,             0.79768,             0.40618,            0.034214,           0.0065272,           0.0060989,           0.0083566,           0.0083566,           0.0083566
                  85,            0.042185,            0.011657,            0.011101,             0.97215,             0.90092,             0.97187,             0.60023,            0.029382,           0.0063256,           0.0059268,           0.0083368,           0.0083368,           0.0083368
                  86,             0.04018,            0.013426,            0.012146,             0.69558,             0.87917,             0.91735,             0.58152,            0.033732,           0.0066723,           0.0051083,            0.008317,            0.008317,            0.008317
                  87,            0.042961,            0.012618,            0.014385,              0.8272,             0.87993,             0.92287,             0.50698,            0.032373,           0.0066879,           0.0048702,           0.0082972,           0.0082972,           0.0082972
                  88,            0.041681,             0.01046,            0.011966,              0.8272,             0.87993,             0.92287,             0.50698,            0.032373,           0.0066879,           0.0048702,           0.0082774,           0.0082774,           0.0082774
                  89,            0.041578,            0.011932,           0.0090212,             0.95045,               0.975,             0.96829,             0.52171,            0.030164,           0.0066123,           0.0050382,           0.0082576,           0.0082576,           0.0082576
                  90,            0.043612,            0.011237,           0.0098719,             0.86631,                0.85,             0.91842,             0.41607,            0.040457,            0.006849,           0.0049233,           0.0082378,           0.0082378,           0.0082378
                  91,            0.049535,            0.012212,           0.0098362,             0.59357,               0.875,             0.80533,             0.45735,            0.033538,           0.0062929,           0.0054818,            0.008218,            0.008218,            0.008218
                  92,            0.043925,             0.01144,           0.0097438,             0.59357,               0.875,             0.80533,             0.45735,            0.033538,           0.0062929,           0.0054818,           0.0081982,           0.0081982,           0.0081982
                  93,             0.03687,            0.012825,            0.010653,             0.90164,             0.94159,             0.97305,             0.66673,            0.026732,            0.005992,           0.0056389,           0.0081784,           0.0081784,           0.0081784
                  94,             0.04037,            0.010394,            0.012842,             0.62551,              0.9337,              0.8111,             0.37355,            0.039597,           0.0064325,           0.0046917,           0.0081586,           0.0081586,           0.0081586
                  95,            0.048938,            0.012542,            0.010079,             0.81579,             0.86568,             0.90194,             0.57135,             0.03231,           0.0060835,           0.0044495,           0.0081388,           0.0081388,           0.0081388
                  96,            0.048824,            0.011025,            0.012631,             0.81579,             0.86568,             0.90194,             0.57135,             0.03231,           0.0060835,           0.0044495,            0.008119,            0.008119,            0.008119
